LOAD|1,LOAD|2,LOAD|3,LOAD|6,ENC_POS|1,ENC_POS|2,ENC_POS|3,ENC_POS|6,CTRL_DIFF2|1,CTRL_DIFF2|2,CTRL_DIFF2|3,CTRL_DIFF2|6,TORQUE|1,TORQUE|2,TORQUE|3,TORQUE|6,DES_POS|1,DES_POS|2,DES_POS|3,DES_POS|6,CTRL_DIFF|1,CTRL_DIFF|2,CTRL_DIFF|3,CTRL_DIFF|6,CTRL_POS|1,CTRL_POS|2,CTRL_POS|3,CTRL_POS|6,VEL_FFW|1,VEL_FFW|2,VEL_FFW|3,VEL_FFW|6,CONT_DEV|1,CONT_DEV|2,CONT_DEV|3,CONT_DEV|6,CMD_SPEED|1,CMD_SPEED|2,CMD_SPEED|3,CMD_SPEED|6,TORQUE_FFW|1,TORQUE_FFW|2,TORQUE_FFW|3,TORQUE_FFW|6,ENC1_POS|1,ENC1_POS|2,ENC1_POS|3,ENC1_POS|6,ENC2_POS|1,ENC2_POS|2,ENC2_POS|3,ENC2_POS|6,CURRENT|1,CURRENT|2,CURRENT|3,CURRENT|6
0.20752,7.525635,0.439453,2.453613,-21.455232,291.13424,378.335521,507186.991614,-0.001847,-0.000708,0.000489,-12.523614,0.213623,-7.476807,-0.408936,-3.364168,-21.494639,291.208499,378.33601,507251.868,-0.001847,-0.000708,0.000489,0.0,-21.457079,291.133532,378.33601,507174.468,-2.869734,5.776428,0.0,12900.0,-0.001847,-0.000708,0.000489,0.0,-2.931289,5.752827,0.016284,12900.0,0.0,0.0,0.0,0.0,-21.452994,291.18242,378.333646,507186.991614,-21.455232,291.13424,378.335521,0.0,0.161133,-6.000977,-0.341797,-1.338135
1.055908,8.300781,0.201416,4.040527,-11.663211,279.322941,378.336,68021.654166,-0.000258,0.000255,1e-05,-12.170166,1.031494,-8.392334,-0.195312,-5.485716,-11.747048,279.329929,378.33601,68086.884,-0.000258,0.000255,1e-05,0.0,-11.663468,279.323197,378.33601,68009.484,-6.427912,0.533337,0.0,12900.0,-0.000258,0.000255,1e-05,0.0,-6.436495,0.541852,0.000333,12900.0,0.0,0.0,0.0,0.0,-11.667186,279.377421,378.334572,68021.654166,-11.663211,279.322941,378.336,0.0,0.830078,-6.704102,-0.161133,-2.225098
0.524902,7.928467,0.268555,4.083252,-27.799852,315.312004,378.335785,158468.732489,-0.000158,-9.3e-05,0.000225,-13.100489,-0.531006,-7.861328,-0.238037,-5.212946,-27.80001,315.401611,378.33601,158538.432,-0.000158,-9.3e-05,0.000225,0.0,-27.80001,315.311911,378.33601,158455.632,0.0,6.9,0.0,13800.0,-0.000158,-9.3e-05,0.000225,0.0,-0.005281,6.896911,0.007495,13800.0,0.0,0.0,0.0,0.0,-27.791368,315.357396,378.334293,158468.732489,-27.799852,315.312004,378.335785,0.0,-0.424805,-6.318359,-0.200195,-2.255859
1.104736,6.652832,0.384521,2.618408,19.43843,288.936252,378.335766,748093.750037,0.001417,-0.001117,0.000244,-17.794037,1.049805,-6.604004,-0.317383,-2.545857,19.364853,288.842804,378.33601,748185.756,0.001417,-0.001117,0.000244,0.0,19.439846,288.935135,378.33601,748075.956,-5.802707,-7.074679,0.0,18300.0,0.001417,-0.001117,0.000244,0.0,-5.755489,-7.111921,0.008146,18300.0,0.0,0.0,0.0,0.0,19.447429,288.975633,378.333744,748093.750037,19.43843,288.936252,378.335766,0.0,0.854492,-5.336914,-0.283203,-1.481689
1.068115,6.115723,0.170898,4.449463,-5.507088,334.26924,378.335971,228302.777899,2.8e-05,0.00076,3.9e-05,-14.849899,-1.177979,-6.158447,-0.219727,-4.955329,-5.40566,334.27,378.33601,228381.528,2.8e-05,0.00076,3.9e-05,0.0,-5.50706,334.27,378.33601,228287.928,7.8,0.0,0.0,15600.0,2.8e-05,0.00076,3.9e-05,0.0,7.80093,0.025326,0.00131,15600.0,0.0,0.0,0.0,0.0,-5.48225,334.305707,378.334453,228302.777899,-5.507088,334.26924,378.335971,0.0,-0.917969,-4.907227,-0.224609,-2.435303
0.665283,6.121826,0.543213,1.800537,-5.441111,311.909748,378.336303,1110286.339606,0.000786,0.000567,-0.000293,-18.835606,-0.769043,-6.048584,-0.549316,-1.621469,-5.352079,311.822069,378.33601,1110382.704,0.000786,0.000567,-0.000293,0.0,-5.440325,311.910315,378.33601,1110267.504,6.788225,-6.788225,0.0,19200.0,0.000786,0.000567,-0.000293,0.0,6.814426,-6.769316,-0.009758,19200.0,0.0,0.0,0.0,0.0,-5.418077,311.945486,378.333434,1110286.339606,-5.441111,311.909748,378.336303,0.0,-0.585938,-4.868164,-0.439453,-0.979248
1.2146,6.829834,0.231934,4.217529,-15.477078,333.485061,378.336059,207057.964514,-0.000428,0.001503,-4.9e-05,-13.984514,-1.208496,-6.964111,-0.201416,-5.091714,-15.386158,333.514584,378.33601,207132.18,-0.000428,0.001503,-4.9e-05,0.0,-15.477506,333.486563,378.33601,207043.98,7.032725,2.136182,0.0,14700.0,-0.000428,0.001503,-4.9e-05,0.0,7.018465,2.186268,-0.00162,14700.0,0.0,0.0,0.0,0.0,-15.452049,333.523385,378.334389,207057.964514,-15.477078,333.485061,378.336059,0.0,-0.97168,-5.537109,-0.175781,-2.332764
0.396729,7.611084,0.341797,3.22876,-0.299803,281.105187,378.337152,451410.26409,-0.000207,0.000813,-0.001142,-11.54409,-0.213623,-7.763672,-0.244141,-4.758328,-0.30001,281.184,378.33601,451470.72,-0.000207,0.000813,-0.001142,0.0,-0.30001,281.106,378.33601,451398.72,0.0,6.0,0.0,12000.0,-0.000207,0.000813,-0.001142,0.0,-0.006909,6.027083,-0.038078,12000.0,0.0,0.0,0.0,0.0,-0.30102,281.150625,378.333843,451410.26409,-0.299803,281.105187,378.337152,0.0,-0.185547,-6.191406,-0.195312,-1.773926
0.610352,7.348633,0.592041,1.312256,21.976477,329.04592,378.336039,967229.002264,-0.000161,0.000406,-2.9e-05,-14.266264,-0.622559,-7.37915,-0.598145,-1.606315,22.042501,329.112511,378.33601,967301.136,-0.000161,0.000406,-2.9e-05,0.0,21.976316,329.046326,378.33601,967214.736,5.091169,5.091169,0.0,14400.0,-0.000161,0.000406,-2.9e-05,0.0,5.085804,5.104692,-0.000969,14400.0,0.0,0.0,0.0,0.0,21.992079,329.0869,378.333101,967229.002264,21.976477,329.04592,378.336039,0.0,-0.498047,-5.908203,-0.473633,-0.728027
0.244141,6.231689,0.299072,2.972412,22.199826,306.349191,378.336605,710276.909369,0.000164,0.000189,-0.000595,-16.901369,0.250244,-6.274414,-0.341797,-2.939859,22.19999,306.236281,378.33601,710364.408,0.000164,0.000189,-0.000595,0.0,22.19999,306.349381,378.33601,710260.008,0.0,-8.7,0.0,17400.0,0.000164,0.000189,-0.000595,0.0,0.005461,-8.693693,-0.019849,17400.0,0.0,0.0,0.0,0.0,22.211331,306.385862,378.333925,710276.909369,22.199826,306.349191,378.336605,0.0,0.200195,-5.029297,-0.249023,-1.61499
